Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DeepSpeech_conv1, 2835, 161, 41, 11, 1, 32, 2, 
DeepSpeech_conv2, 647, 79, 21, 11, 32, 32, 2, 
BatchRNN1, 5, 2560, 1, 2560, 1, 4, 1, 
BatchRNN2, 18, 2560, 1, 2560, 1, 4, 1, 
BatchRNN3, 18, 2560, 1, 2560, 1, 4, 1, 
FC, 1, 2560, 1, 2560, 1, 29, 1, 
