Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DeepSpeech_conv1, 971, 161, 41, 11, 1, 32, 2, 
DeepSpeech_conv2, 229, 79, 21, 11, 32, 32, 2, 
BatchRNN1, 2, 2560, 1, 2560, 1, 4, 1, 
BatchRNN2, 6, 2560, 1, 2560, 1, 4, 1, 
BatchRNN3, 6, 2560, 1, 2560, 1, 4, 1, 
FC, 1, 2560, 1, 2560, 1, 29, 1, 
