Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
Conv1, 5478, 224, 3, 3, 3, 64, 1, 
Conv2, 5478, 224, 3, 3, 64, 64, 1, 
Conv3, 3027, 112, 3, 3, 64, 128, 1, 
Conv4, 3027, 112, 3, 3, 128, 128, 1, 
Conv5, 1460, 56, 3, 3, 128, 256, 1, 
Conv6, 1460, 56, 3, 3, 256, 256, 1, 
Conv7, 1460, 56, 3, 3, 256, 256, 1, 
Conv8, 678, 28, 3, 3, 256, 512, 1, 
Conv9, 678, 28, 3, 3, 512, 512, 1, 
Conv10, 678, 28, 3, 3, 512, 512, 1, 
Conv11, 146, 14, 3, 3, 512, 512, 1, 
Conv12, 146, 14, 3, 3, 512, 512, 1, 
Conv13, 146, 14, 3, 3, 512, 512, 1, 
