Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 875, 224,     11,  11,     3,       96,      4, 
Conv2, 8246, 207,     5,  5,       96,      256,     1, 
Conv3, 43, 13,      3,  3,       256,     384,     1, 
Conv4, 43, 13,      3,  3,       384,     384,     1, 
Conv5, 27, 13,      3,  3,       384,     256,     1, 
